Execution time of function: 0:34:54.663388
         3831791657 function calls (3407604323 primitive calls) in 1346.216 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    28876    0.052    0.000    0.099    0.000 concat.py:492(_clean_keys_and_objs)
    28884    0.116    0.000    0.130    0.000 concat.py:52(concat_compat)
    28876    0.045    0.000    0.128    0.000 concat.py:543(_get_sample_object)
    28876    0.154    0.000    3.901    0.000 concat.py:618(get_result)
    28876    0.009    0.000    0.012    0.000 concat.py:689(_get_result_dim)
    28876    0.044    0.000    2.136    0.000 concat.py:695(new_axes)
    28876    0.025    0.000    0.833    0.000 concat.py:703(_get_comb_axis)
    28876    0.043    0.000    1.248    0.000 concat.py:713(_get_concat_axis)
    28876    0.004    0.000    0.004    0.000 concat.py:766(_maybe_check_integrity)
    28876    0.018    0.000    1.187    0.000 concat.py:773(_concat_indexes)
    28876    0.136    0.000    0.745    0.000 concat.py:94(concatenate_managers)
   979549    0.987    0.000    2.582    0.000 config.py:127(_get_single_key)
   979549    0.673    0.000    4.223    0.000 config.py:145(_get_option)
   979549    0.358    0.000    4.582    0.000 config.py:271(__call__)
   979549    0.205    0.000    0.205    0.000 config.py:615(_select_options)
   979549    0.682    0.000    0.968    0.000 config.py:633(_get_root)
  1959098    0.653    0.000    0.653    0.000 config.py:647(_get_deprecated_option)
